
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ՄԱՐՏԱԿԱՆ ԳՈՐԾՈՂՈՒԹՅՈՒՆՆԵՐԻ ԴԱԴԱՐԵՑՈՒՄ	 մարտական գործողությունները կանգնեցնելու ձևերից մեկը: Առավելապես օգտագործվում է տեղական զինադադարի պայմաններն ապահովելու համար և սահմանափակվում է ըստ ժամանակի, տարածքի և նպատակների: Օգտագործվում է մասնակի խնդիրներ լուծելու` վիրավորներին հավաքելու և նրանց փոխանակելու, բանագնացներ ուղարկելու և այլ նպատակների համար: Առանձին անձանց կողմից դադարեցման պայմանների խախտումը դիտարկվում է որպես պատերազմի օրենքների և ավանդույթների խախտում:
ՄԱՐՏԱԿԱՆ ԻՐԱՎԻՃԱԿ	 գործոնների և պայմանների ամբողջություն, որոնցում իրականացվում են մարտի նախապատրաստումը և վարումը: 
ՄԱՐՏԱԿԱՆ ԿԱՑԻՆ (ՏԱՊԱՐ)	 հնագույն կտրող-հարվածող սառը զենք: Փայտե բռնակի վրա ամրացված ձգված սեպ կամ լայնաբերան սայր էր:
ՄԱՐՏԱԿԱՆ ՀԱՋՈՂՈՒԹՅՈՒՆ	 մարտական գործողությունների հետևանք, որի արդյունքում ամբողջությամբ և ժամանակին կատարվել են ստորաբաժանումներին, զորամասերին և միավորումներին մարտում տրված մարտավարական առաջադրանքները:
ՄԱՐՏԱԿԱՆ ՀԵՐԹԱՊԱՀՈՒԹՅՈՒՆ	 բարձր մարտական պատրաստականության մեջ գտնվող պլանավորված կամ հանկարծակի ծագող խնդիրները և մարտական գործողությունները վարելու համար հատուկ առանձնացված ուժերի և միջոցների հերթապահության հատուկ ձև: Իրականացվում է հակառակորդի հարձակման սկիզբը ժամանակին բացահայտելու, առավել կարևոր օբյեկտներն անհապաղ խոցելու, պետական սահմանի խախտումը կանխելու նպատակով:
ՄԱՐՏԱԿԱՆ ՀՄՏՈՒԹՅՈՒՆ	 զորքերի (ուժերի) անձնակազմի գիտելիքների, կարողությունների և հմտությունների համալիր, նրա բարոյահոգեբանական և ֆիզիկական հատկությունները, ստորաբաժանումների, զորամասերի, միավորումների, կառավարման օրգանների պատրաստվածությունը և ներդաշնակությունը, ինչպես նաև տարբեր իրավիճակներում մարտական գործողություններ վարելու կամ առաջադրված այլ խնդիրներ կատարելու նրանց կարողությունը:
ՄԱՐՏԱԿԱՆ ՀՐԱՄԱՆ	 մարտի (օպերացիայի) նախապատրաստման ժամանակ զորքերին (ուժերին) առաջադրվող մարտական խնդիրների ձև: ՄՀ բոլոր ձևակերպումներն արտահայտվում են հակիրճ և միանշանակ: ՄՀ կարող է տրվել բանավոր և գրավոր, տեղանքի վրա կամ էլ քարտեզով:
ՄԱՐՏԱԿԱՆ ՇՓՈՒՄ (ՀԱԿԱՌԱԿՈՐԴԻ ՀԵՏ ԱՆՄԻՋԱԿԱՆ ՇՓՈՒՄ)	 կռվող կողմերի զորքերի փոխադարձ տեղաբաշխումը, որի դեպքում նրանք խոցման միջոցներով կարող են ազդել միմյանց վրա:
ՄԱՐՏԱԿԱՆ ՊԱՀՊԱՆՈՒԹՅՈՒՆ	 մարտում զորքերը պահպանելու համար հատկացվող ուժեր և միջոցներ, մարտական և նախամարտական կարգերի տարածք հակառակորդի հետախուզության մուտքը թույլ չտալու, պահպանվող զորքերի վրա հակառակորդի հանկարծակի հարձակումը կանխելու համար: 
ՄԱՐՏԱԿԱՆ ՊԱՏՐԱՍՏՎԱԾՈՒԹՅՈՒՆ	 զորքերի (ուժերի) վիճակը, որը թույլ է տալիս նշված ժամկետներում մարտական գործողություններ սկսել, և դրանց ընթացքում հաջողությամբ կատարել մարտական առաջադրանքները: Զինված ուժերում նախատեսված է ՄՊ մի քանի աստիճան: Որքան բարձր է զորքերի ՄՊ, այնքան քիչ ժամանակ է նրանց պետք մարտական առաջադրանքները կատարելուն նախապատրաստվելու համար: ՄՊ բարձրագույն աստիճանը որոշվում է զորքերի (ուժերի) կողմից անհապաղ մարտական առաջադրանքները կատարելու կարողությամբ:
ՄԱՐՏԱԿԱՆ ՏԱԳՆԱՊ	 զորամասի անհապաղ բերումը մարտական խնդիրներ կատարելու պատրաստվածության:
ՄԱՐՏԱԿԱՆ ՏԵԽՆԻԿԱ	 մարտ վարելու համար նախատեսված կամ հարմարեցված տեխնիկական միջոցներ: 
ՄԱՐՏԱԿԱՌՔ	 ռազմակառք, հատկապես ռազմական նպատակներով օգտագործվող երկանիվ կամ քառանիվ մարդատար թեթև կառք: Մ-ին լծում էին մեկ կամ երկու և ավելի զույգ ձի (մասամբ նաև ջորի): Մարտիկի պաշտպանության նպատակով Մ. առջևից և կողերից պատվում էր 0,5 մ և ավելի բարձր թափքակողերով: Մ-ում տեղավորվում էին հիմնականում մարտիկը և կառավարը: Մ-ի թափքում ամրացվում-պահվում էին նետերի կամ տեգերի կապարճը, նիզակը և անհրաժեշտ այլ զենքեր: Հին աշխարհի զորքերում Մ-երի մարտիկները կազմում էին հատուկ ջոկատներ, որոնք գործում էին հետևազորի առջևից կամ թևերից: Մ-երի ջոկատների հարվածները խառնաշփոթություն էին առաջացնում հակառակորդի շարքերում՝ հետևազորի համար ստեղծելով նպաստավոր պայմաններ: Մ-երն օգտագործվում էին նաև հաղթական կամ հանդիսավոր շքահանդեսներում ու մարզական մրցույթներում: Հայկական լեռնաշխարհում Մ-երի պեղածոներ են հայտնաբերվել Ք.ա. XIV-VII դդ. ժամանակաշրջանին վերաբերող դամբարաններում: Արդեն Ք.ա. I հազարամյակի սկզբներից ռազմարվեստում, որպես առավել ճկուն ու հարվածային զորատեսակ, առաջնակարգ դիրք է գրավում հեծելազորը (այրուձին)՝ աստիճանաբար փոխարինելով Մ-երի ջոկատներին:
ՄԱՐՏԱԿԱՐԳ	 զորքերի դասավորվածությունը մարտ վարելու համար: Այն պետք է համապատասխանի իրավիճակի պայմաններին և նպաստի մարտի նպատակին հասնելուն: 
ՍԱՆԴՂԱՁԵՎ Մ.	 առաջին գծում անհարթ (կենտրոնը կամ թևերից մեկն առաջ կամ հետ ընկած) դասավորություն:
ՄԱՐՏԱՎԱՐԱԿԱՆ ՔՈՂԱՐԿՈՒՄ	 նպատակն է հասնել ստորաբաժանումների գործողությունների անսպասելիության և դրանց մարտունակության պահպանման: Քողարկման խնդիրները սեփական ստորաբաժանումների գաղտնիությունն ապահովելն ու հակառակորդին մոլորության մեջ գցելն է դրանց կազմի, դրության և մարտի մտահղացման վերաբերյալ: 
ՄԱՐՏԱՎԱՐԱՏԵԽՆԻԿԱԿԱՆ ԲՆՈՒԹԱԳԻՐ	 մարտական տեխնիկայի մարտական և շահագործման հնարավորությունները որոշող նրա քանակական և որակական ցուցանիշների ամբողջություն:
ՄԱՐՏԱՎԱՐՈՒԹՅՈՒՆ	 ռազմարվեստի բաղկացուցիչ մասերից է, որն ուսումնասիրում է զորքերի դիրքը, զորաշարժն ու գործողությունները տարբեր մարտատեսակներում: Այլ կերպ ասած` մարտավարությունն ուսումնասիրում է մարտի բնույթն ու դրան զինված ուժերի մասնակցությունը: Ընդգրկում է բոլոր տեսակի մարտական գործողությունների (հարձակում, պաշտպանություն, հանդիպական մարտ, մարտավարական վերախմբավորում և այլն) ուսումնասիրումը, մշակումը, նախապատրաստումը և վարումը: Մարտավարությունը բաժանվում է ընդհանուր մարտավարության և զորատեսակների ու հատուկ զորքերի մարտավարության:
ՄԱՐՏԻԿ (ԿՈՄԲԱՏԱՆՏ)	 պատերազմող կողմերի զինված ուժերի կազմի մեջ մտնող և մարտական գործողություններում անմիջականորեն մասնակցություն ունեցող, այսինքն` կռվող անձ: Մ. են նաև աշխարհազորի և կամավորական ջոկատների անդամները: Մ. պարտավոր է պահպանել պատերազմի օրենքները և ավանդույթները: Մ. են համարվում նաև ռազմաբժշկական, ռազմաիրավաբանական, թիկունքի անձնակազմը, զինվորական հոգևորականները և ռազմական լրագրողները:
